date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:46:04	763302/763302	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:15:42%20GMT	https://www.classcentral.com/subject/cad	E:/juned/www.classcentral.com/www.classcentral.com/subject/cad.html	(from https://www.classcentral.com/)
07:46:04	745901/745901	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:15:43%20GMT	https://www.classcentral.com/subject/chemical-engineering	E:/juned/www.classcentral.com/www.classcentral.com/subject/chemical-engineering.html	(from https://www.classcentral.com/)
07:46:15	764154/764154	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:15:53%20GMT	https://www.classcentral.com/subject/energy-systems	E:/juned/www.classcentral.com/www.classcentral.com/subject/energy-systems.html	(from https://www.classcentral.com/)
07:46:16	743951/743951	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:15:54%20GMT	https://www.classcentral.com/subject/aerospace-engineering	E:/juned/www.classcentral.com/www.classcentral.com/subject/aerospace-engineering.html	(from https://www.classcentral.com/)
07:46:27	776566/776566	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:16:05%20GMT	https://www.classcentral.com/subject/chemistry	E:/juned/www.classcentral.com/www.classcentral.com/subject/chemistry.html	(from https://www.classcentral.com/)
07:46:36	781796/781796	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:16:15%20GMT	https://www.classcentral.com/subject/physics	E:/juned/www.classcentral.com/www.classcentral.com/subject/physics.html	(from https://www.classcentral.com/)
07:46:36	785251/785251	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:16:16%20GMT	https://www.classcentral.com/subject/environmental-science	E:/juned/www.classcentral.com/www.classcentral.com/subject/environmental-science.html	(from https://www.classcentral.com/)
07:46:47	766822/766822	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:16:26%20GMT	https://www.classcentral.com/subject/astronomy	E:/juned/www.classcentral.com/www.classcentral.com/subject/astronomy.html	(from https://www.classcentral.com/)
07:46:58	831828/831828	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:16:36%20GMT	https://www.classcentral.com/subject/biology	E:/juned/www.classcentral.com/www.classcentral.com/subject/biology.html	(from https://www.classcentral.com/)
07:47:07	754149/754149	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:16:47%20GMT	https://www.classcentral.com/subject/materials-science	E:/juned/www.classcentral.com/www.classcentral.com/subject/materials-science.html	(from https://www.classcentral.com/)
